Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Moon,Sarang ・ Love,サラン・愛,Sarang ・ Love,National Tour,Nakamura Kazunori,Nakamura Kazunori,Kuratomi Shinichi. Yoshida Yuuko. Takahashi Kuni,Wakao Risa. Miori Yumino. Nakura Kayoko. Hayama Kiyomi,Shibuki Jun,4,Emi Kurara,4,,TRUE,FALSE,FALSE,FALSE,drama. korean. 1600s. romance.,FALSE,FALSE,TRUE,flower,15,6,2002,7,7,2002
Moon,Jazzmania,ジャズマニア,Jazzmania,National Tour,Miki Akio,Miki Akio,Takahashi Kuni. Yoshida Yuuko. Kuratomi Shinichi,,Shibuki Jun,4,Emi Kurara,4,,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,15,6,2002,7,7,2002
Star,Kouju Tatsuki Dinner Show - The Silent Revolution,Kouju Tatsuki Dinner Show - Shizuka Naru Kakumei.香寿たつきディナーショー「静かなる革命」,Kouju Tatsuki Dinner Show - The Silent Revolution,Palace Hotel,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Kouju Tatsuki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,26,5,2002,27,5,2002
Snow,Memories of Barcelona,追憶のバルセロナ,Tsuioku no Barcelona,Takarazuka Grand Theater,Masatsuka Haruhiko,Masatsuka Haruhiko,Miyahara Tooru. Takahashi Kuni,Hirasawa Satoshi. Iga Yuuko,Emao Yuu,2,Konno Mahiru,2,N/A,TRUE,FALSE,FALSE,FALSE,drama. spanish,FALSE,FALSE,FALSE,FALSE,24,5,2002,8,7,2002
Snow,On the Fifth,ON THE 5th －ヴィレッヂからハーレムまで－,On the Fifth -From the Village to Harlem-,Takarazuka Grand Theater,Kusano Akira,Kusano Akira,Kuratomi Shinichi. Takahashi Kuni,Iga Yuuko. Ueshima Yukio. Hayama Kiyomi Randy Skinner. ,Emao Yuu,2,Konno Mahiru,2,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,24,5,2002,8,7,2002
Star,Kouju Tatsuki Dinner Show - The Silent Revolution,Kouju Tatsuki Dinner Show - Shizuka Naru Kakumei.香寿たつきディナーショー「静かなる革命」,Kouju Tatsuki Dinner Show - The Silent Revolution,Hotel Hankyu International,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Kouju Tatsuki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,23,5,2002,24,5,2002
Cosmos,The Age of Innocence,エイジ・オブ・イノセンス －美徳の微笑－,The Age of Innocence,Nippon Seinenkan Hall,Ueda Keiko,Ueda Keiko,Kai Masato. Yoshida Yuuko,Miori Yumino. Masaki Rino,N/A,0,N/A,0,Tsubaki Hiroka. Fuzuki Miyo,FALSE,TRUE,FALSE,FALSE,drama. 1870s. american.,TRUE,novel,FALSE,FALSE,11,5,2002,17,5,2002
Flower,In the Amber-Hued Rain,琥珀色の雨にぬれて,Kohakuiro no Ame ni Nurete,Tokyo Takarazuka Theater,Shibata Yukihiro,Shibata Yukihiro,Miyahara Tooru. Kuratomi Shinichi. Takahashi Kuni: ,ANJU. Wakao Risa. Miori Yumino. Kenji Nakao. Hayama Kiyomi: ,Takumi Hibiki,2,Ootori Rei,9,Haruno Sumire,TRUE,FALSE,FALSE,FALSE,drama. romance. 20s. european,FALSE,FALSE,TRUE,flower,11,5,2002,23,6,2002
Flower,Cocktail,Cocktail －カクテル－,Cocktail,Tokyo Takarazuka Theater,Fujii Daisuke,Fujii Daisuke,,,Takumi Hibiki,2,Ootori Rei,9,Haruno Sumire,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,11,5,2002,23,6,2002
Cosmos,The Age of Innocence,エイジ・オブ・イノセンス －美徳の微笑－,Age of Innocence -Bitoku no Bijou-,Bow Hall,Ueda Keiko,Ueda Keiko,Kai Masato. Yoshida Yuuko,Miori Yumino. Masaki Rino,N/A,0,N/A,0,Tsubaki Hiroka. Fuzuki Miyo,FALSE,TRUE,FALSE,FALSE,drama. 1870s. american.,TRUE,novel,FALSE,FALSE,28,4,2002,6,5,2002
