Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author ,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Star,Ihatov Dream,イーハトーヴ夢,Ihatov Yume,Nippon Seinenkan Hall,Fujii Daisuke,Fujii Daisuke,Takahashi Kuni. Kikawada Shin,N/A,N/A,0,N/A,0,Yumeki Noa. Emi Kurara,FALSE,TRUE,FALSE,FALSE,drama. fantasy. biography,TRUE,novel,FALSE,FALSE,23,6,2001,29,6,2001
Senka,Iori Naoka Dinner Show - TABLOID,伊織直加ディナーショー 「TABLOID」,Iori Naoka Dinner Show - TABLOID,Daiichi Hotel Tokyo,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Iori Naoka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,18,6,2001,19,6,2001
Senka,Iori Naoka Dinner Show - TABLOID,伊織直加ディナーショー 「TABLOID」,Iori Naoka Dinner Show - TABLOID,Takarazuka Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Iori Naoka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,11,6,2001,12,6,2001
Star,Gone with the Wind,風と共に去りぬ,Kaze to Tomo ni Sarinu,National Tour,,,,,Minoru Kou,8,Hoshina Yuri,11,N/A,FALSE,TRUE,FALSE,FALSE,drama. american. 1800s,TRUE,novel,TRUE,moon. flower. star. snow,9,6,2001,1,7,2001
Star,Ihatov Dream,イーハトーヴ夢,Ihatov Yume,Bow Hall,Fujii Daisuke,Fujii Daisuke,Takahashi Kuni. Kikawada Shin,N/A,N/A,0,N/A,0,Yumeki Noa. Emi Kurara,FALSE,TRUE,FALSE,FALSE,drama. fantasy. biography,TRUE,novel,FALSE,FALSE,9,6,2001,18,6,2001
Mixed,TCA Special 2001 - Takarazuka Dream Century,TCAスペシャル2001 タカラヅカ夢世紀,TCA Special 2001 - Takarazuka Yume Sekki,Takarazuka Grand Theater,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,FALSE,FALSE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,1,6,2001,2,6,2001
Moon,Liebessonate,愛のソナタ,Ai no Sonata,Takarazuka Grand Theater,Kimura Shinji,Kimura Shinji,Kai Masato,Hayama Kiyomi. Takemura Rui. Masaki Rino. Wakao Risa,Makoto Tsubasa,13,Dan Rei,9,N/A,TRUE,FALSE,FALSE,FALSE,drama. ancient. european,TRUE,opera,FALSE,FALSE,18,5,2001,2,7,2001
Moon,ESP!!,ＥＳＰ！！,ESP!!,Takarazuka Grand Theater,Sakai Sumio. Kimura Shinji,Sakai Sumio,Nishimura Kouji. Kuratomi Shinichi. Miyahara Tooru,Hayama Kiyomi. Maeda Kiyomi. Kenji Nakao. Wakao Risa,Makoto Tsubasa,13,Dan Rei,9,N/A,TRUE,FALSE,FALSE,FALSE,revue. taidan,FALSE,FALSE,FALSE,FALSE,18,5,2001,2,7,2001
Flower,Manon,マノン,Manon,Nippon Seinenkan Hall,Shibata Yukihiro. Nakamura Satoru,Nakamura Satoru,Nishimura Kouji. Kuratomi Shinichi. Miyahara Tooru,Hayama Kiyomi. Wakao Risa,N/A,0,N/A,0,Sena Jun.Ayano Kanami,FALSE,TRUE,FALSE,FALSE,drama. spanish,TRUE,opera,FALSE,FALSE,12,5,2001,18,5,2001
Snow,In Search of El Dorado,猛き黄金の国,Takeki Ougon no Kuni,Tokyo Takarazuka Theater,Ishida Masaya,Ishida Masaya,Nishimura Kouji. Odakane Bonpei,Hanayagi Yoshijirou. Ai Erina,Todoroki Yuu,11,Tsukikage Hitomi,12,N/A,TRUE,FALSE,FALSE,FALSE,drama. biography. japanese. 1800s,FALSE,FALSE,FALSE,FALSE,11,5,2001,24,6,2001
Snow,Passage,パッサージュ,Passage,Tokyo Takarazuka Theater,Ogita Kouichi,Ogita Kouichi,Takahashi Kuni. Kai Masato. Saitou Tsuneyoshi,Iga Yuuko. Miori Yumino. Kawasaki Etsuko. Hirasawa Satoshi,Todoroki Yuu,11,Tsukikage Hitomi,12,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,11,5,2001,24,6,2001
Flower,Lived in A Dream -The Tale of Genji-,あさきゆめみし,Asaki Yume Mishi -Genji Monogatari-,National Tour,Kusano Akira,Kusano Akira,Takahashi Jou. Kuratomi Shinichi. Kikawada Shin,Nishikawa Minosuke. Muromachi Akane,Aika Mire,7,Ootori Rei,7,N/A,TRUE,FALSE,TRUE,FALSE,drama. nihonmono,TRUE,novel,FALSE,FALSE,7,4,2000,15,5,2000
Flower,The Beauties!,ザ・ビューティーズ！,The Beauties!,National Tour,Nakamura Kazunori,Nakamura Kazunori,Nishimura Kouji. Kai Masato. Kuratomi Shinichi,Naukra Kayoko. Ieki Hiroshi. Ai Erina. Ootani Morio. Hirayama Kora,Aika Mire,7,Ootori Rei,7,N/A,TRUE,FALSE,TRUE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,7,4,2000,15,5,2000
Flower,Manon,マノン,Manon,Bow Hall,Shibata Yukihiro. Nakamura Satoru,Nakamura Satoru,Nishimura Kouji. Kuratomi Shinichi. Miyahara Tooru,Hayama Kiyomi. Wakao Risa,N/A,0,N/A,0,Sena Jun.Ayano Kanami,FALSE,TRUE,FALSE,FALSE,drama. spanish,TRUE,opera,FALSE,FALSE,28,4,2001,7,5,2001
Moon,Makoto Tsubasa Dinner Show - Tsubasa Legend,真琴つばさディナーショー「つばさ伝説」,Makoto Tsubasa Dinner Show - Tsubasa Densetsu,Palace Hotel,Koike Shuuichirou,N/A,N/A,N/A,N/A,0,N/A,0,Makoto Tsubasa,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,15,4,2001,16,4,2001
Snow,Snow Troupe Encourage Concert,雪組エンカレッジコンサート,Yukigumi Encourage Concert,Bow Hall,N/A,Okada Keiji,Yoshizaki Kenji,N/A,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,13,4,2001,15,4,2001
Moon,Makoto Tsubasa Dinner Show - Tsubasa Legend,真琴つばさディナーショー「つばさ伝説」,Makoto Tsubasa Dinner Show - Tsubasa Densetsu,Hotel Hankyu International,Koike Shuuichirou,N/A,N/A,N/A,N/A,0,N/A,0,Makoto Tsubasa,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,11,4,2001,12,4,2001
Cosmos,The Rose of Versailles 2001 -Fersen and Marie Antoinette-,ベルサイユのばら2001: フェルゼンとマリー･アントワネット編,Versailles no Bara: Fersen and Marie Antoinette Hen,Takarazuka Grand Theater,Ueda Shinji. Tani Masazumi,Ueda Shinji,Yoshida Yuuko. Terada Takio. Irie Kaoru. Kawasaki Tsuneo. Hirao Masaaki,Hayama Kiyomi. Shou Sumire. Wakao Risa. Oka Masami. Kita Hiroshi. Kurotaki Tsukio,Wao Youka,4,Hanafusa Mari,26,N/A,FALSE,TRUE,FALSE,FALSE,drama. french. 1700s,TRUE,manga,FALSE,FALSE,6,4,2001,14,5,2001
Star,The Rose of Versailles: Oscar and Andre,ベルサイユのばら2001: オスカルとアンドレ編,Versailles no Bara: Oscar to Andre Hen,Tokyo Takarazuka Theater,Ueda Shinji. Tani Masazumi,Ueda Shinji,Yoshida Yuuko. Terada Takio. Irie Kaoru. Kuratomi Shinichi. Kawasaki Tsuneo. Hirao Masaaki,Hayama Kiyomi. Shou Sumire. Ootani Morio. Wakao Risa. Oka Masami. Kita Hiroshi. Kurotaki Tsukio,Minoru Kou,7,Hoshina Yuri,10,N/A,FALSE,TRUE,FALSE,FALSE,drama. french. 1700s,TRUE,manga,FALSE,FALSE,30,3,2001,6,5,2001
Moon,Practical Joke,Practical Joke,Practical Joke,Akasaka ACT Theater,Masatsuka Haruhito,Masatsuka Haruhito,Takahashi Kuni. Miyahara Tooru,Iga Yuuko. Hirasawa Satoshi,Makoto Tsubasa,12,Dan Rei,8,N/A,FALSE,TRUE,FALSE,FALSE,drama. comedy. american,FALSE,FALSE,FALSE,FALSE,25,3,2001,31,3,2001
Moon,Practical Joke,Practical Joke,Practical Joke,Theater Drama City,Masatsuka Haruhito,Masatsuka Haruhito,Takahashi Kuni. Miyahara Tooru,Iga Yuuko. Hirasawa Satoshi,Makoto Tsubasa,12,Dan Rei,8,N/A,FALSE,TRUE,FALSE,FALSE,drama. comedy. american,FALSE,FALSE,FALSE,FALSE,10,3,2001,20,3,2001
